source_row_index,kepid,kepoi_name,label,processing_status,technical_status,qc_pass,model_data_available,qc_reasons,relative_path,npz_sha256,hard_failure_reason
12,1433962,K00982.01,0,constructed,constructed_qc_pass,True,True,[],processed/1433962/K00982_01.npz,4db100ecc4bc65fba6468334fd9b07251104b7b8c246c97b4daeacbbac04cda0,
13,1433980,K03924.01,0,constructed,constructed_qc_pass,True,True,[],processed/1433980/K03924_01.npz,604ab7f8cfe2c9f692ca02618d1caf0bb6db7a640aba177fab14fdc968f24b28,
14,1434395,K07623.01,0,constructed,constructed_qc_fail,False,True,"[""valid_quarters_below_8""]",processed/1434395/K07623_01.npz,5dd5c2bdf4fa2940c4b324ed6334cfc596b8f792c4dfb39a6f6330742414c817,
15,1571511,K00362.01,0,constructed,constructed_qc_pass,True,True,[],processed/1571511/K00362_01.npz,19590e9dd30c9d47b62c2df291a919b60ac14a5201e360f96e75666f9e502f91,
16,1572948,K04924.01,0,constructed,constructed_qc_fail,False,True,"[""valid_quarters_below_8""]",processed/1572948/K04924_01.npz,eb77e779695f52605cccf1a33e4ab97f16e3dcfeae1a4c57d76f85312668f9f7,
17,1575690,K03658.01,0,constructed,constructed_qc_pass,True,True,[],processed/1575690/K03658_01.npz,c8095dfc9f5149fe7fa6637a727b2c426b3f5195a4d09f7d6b179c8f213c97d3,
19,1717722,K03145.01,1,constructed,constructed_qc_pass,True,True,[],processed/1717722/K03145_01.npz,01dbada463520ada3364cceaf34731aff09543625716ca9532190e58bf316306,
21,1718189,K00993.01,1,constructed,constructed_qc_pass,True,True,[],processed/1718189/K00993_01.npz,2260bb3304d8b0fb978b25c7db29eba484a15fadc0fc07dd22cfc4021f894af2,
22,1718189,K00993.02,1,constructed,constructed_qc_pass,True,True,[],processed/1718189/K00993_02.npz,2799fef86c1dea4baf22df973527f77b9358d803149ad3316a0f0109b2c3dfff,
23,1718189,K00993.03,0,constructed,constructed_qc_pass,True,True,[],processed/1718189/K00993_03.npz,3e1a7247d3a9132bfbd583cb521690196be99c66d7f20595a2f977152dc82e3c,
24,1718958,K04053.01,1,constructed,constructed_qc_pass,True,True,[],processed/1718958/K04053_01.npz,9d7b04006359107702578e481262d12dc87b6dc09588d30123ec35db84868d1f,
26,1722276,K01008.01,0,constructed,constructed_qc_pass,True,True,[],processed/1722276/K01008_01.npz,2686e4289864216c3c7adc6b06d1a34367f8e4dab39e619ca6563bf31f3cdde7,
28,1724513,K04224.01,0,constructed,constructed_qc_pass,True,True,[],processed/1724513/K04224_01.npz,76e9e9b4a0d03577d85e21cd512918d63bb4e47cfa33cfb0497b484db7f643e4,
29,1724719,K04212.01,1,constructed,constructed_qc_pass,True,True,[],processed/1724719/K04212_01.npz,9c48957a6bff35552b903e5e912a62ae8c84d3153023c32102d562cfde8d7010,
31,1725016,K01007.01,1,constructed,constructed_qc_pass,True,True,[],processed/1725016/K01007_01.npz,9536cec538064ded0743135e58503c964eda59a80ab34281a8dd3cd82284647e,
32,1725193,K04925.01,0,constructed,constructed_qc_pass,True,True,[],processed/1725193/K04925_01.npz,52abd235f4f15ea78a85ed361ccb00aae90715a60f78e88174c328b547a1a492,
33,1849702,K02538.01,1,constructed,constructed_qc_pass,True,True,[],processed/1849702/K02538_01.npz,c1234f42519c500918d4ddf823b8f370467db05ef86da790d07256f6ac4ea9b3,
34,1865042,K01002.01,1,constructed,constructed_qc_pass,True,True,[],processed/1865042/K01002_01.npz,9e88a36823ed64cd34c172fee65b8fde0e8246144b9ba776f40a95e6cd9080d9,
36,1868404,K07625.01,0,constructed,constructed_qc_pass,True,True,[],processed/1868404/K07625_01.npz,1e1896f0ab94c2f74c36a7265e66249b93be4d77d7b1d3c22c4bea29fa25fcc6,
37,1870398,K04927.01,0,constructed,constructed_qc_pass,True,True,[],processed/1870398/K04927_01.npz,c79c1d7cfde78aef518930a8a3b2a4482b773d11f6885bdb3717e1c2657f9246,
38,1871056,K01001.01,1,constructed,constructed_qc_pass,True,True,[],processed/1871056/K01001_01.npz,dc6d8aa0eaca0bb519e6637ccb9c22a94144e0b76377d77ba8dac4a65421daee,
39,1871056,K01001.02,1,constructed,constructed_qc_pass,True,True,[],processed/1871056/K01001_02.npz,5818dad41931f8c979f8719e7e6f6e2c658c5d30ecb8cf6eeb24edde3f9ad1d3,
40,1872821,K02351.01,1,constructed,constructed_qc_pass,True,True,[],processed/1872821/K02351_01.npz,a3ce8dc36c24d4dcffd63522aef6fb497e17ab9db7627d16004a80faf9b80e50,
41,1873513,K04928.01,1,constructed,constructed_qc_fail,False,True,"[""valid_quarters_below_8""]",processed/1873513/K04928_01.npz,02138f63878fda12efb8f34846ddd75469bf2fd262175817d7d4357bdbc605d9,
42,1995519,K02634.01,1,constructed,constructed_qc_pass,True,True,[],processed/1995519/K02634_01.npz,7ec8e86385cebae58b9cccf0e5520989bed8eb9ae72d2ab8bf4066675798c57d,
43,1995712,K07626.01,0,constructed,constructed_qc_pass,True,True,[],processed/1995712/K07626_01.npz,c9e75455cf0a2f055a6d4657ccd60052653f467caa45afedb024344d923bb336,
44,1995732,K03351.01,0,constructed,constructed_qc_pass,True,True,[],processed/1995732/K03351_01.npz,3553cbf09aae12cad58da1806c75508a59ce8f7e0f5fe4a1a31f5d4b5e5d82a1,
45,1996180,K02534.01,1,constructed,constructed_qc_pass,True,True,[],processed/1996180/K02534_01.npz,cf33637fde165cdc5693aa96cd6420af2790e821a7ea9e3e6b155d3f03612b38,
47,1996679,K00147.01,0,constructed,constructed_qc_pass,True,True,[],processed/1996679/K00147_01.npz,56967a3993bd088f3d8890b95ef141e36adbc584941955798a9fb96bc22483f5,
48,2010152,K08084.01,0,constructed,constructed_qc_pass,True,True,[],processed/2010152/K08084_01.npz,a5712cdfaf6a0932f9ef5c6f968e953baf85634ef70a87dfdba5aa575963c536,
49,2010191,K03999.01,0,constructed,constructed_qc_pass,True,True,[],processed/2010191/K03999_01.npz,6bf3bab044977639f76c7ea5fc144d8f571e97f20e3fe276586631b37c0fabfd,
50,2010607,K04929.01,0,constructed,constructed_qc_pass,True,True,[],processed/2010607/K04929_01.npz,8f95d3e702caa7713cc2e97ec1aba201794d88c7393525df23b80f6e970f398e,
51,2012722,K06257.01,0,constructed,constructed_qc_pass,True,True,[],processed/2012722/K06257_01.npz,33e85bab4693eb4a9eec5b9cae7f83b58e0ee2be8d3708f0899269096bb83afa,
52,2013883,K06258.01,0,constructed,constructed_qc_pass,True,True,[],processed/2013883/K06258_01.npz,bcbaf5bfad35b2460e8b9408713f569cb6401d9cb63641517f16609bc8e1cfe9,
53,2014991,K02178.01,0,constructed,constructed_qc_pass,True,True,[],processed/2014991/K02178_01.npz,28546a8efcb5e52440f947908e02c65089f2b168e9a1187d689fb9568a99356c,
54,2019076,K03585.01,0,constructed,constructed_qc_pass,True,True,[],processed/2019076/K03585_01.npz,7c02c36ddb514b11984f4a8dd156cc88994603684365b0145bb826c8445dbebf,
55,2019477,K06093.01,0,constructed,constructed_qc_pass,True,True,[],processed/2019477/K06093_01.npz,7903867c256725a2f130af1c324db413fa55b0db2faf5a80edb0bd021e9eb077,
57,2021440,K01987.01,0,constructed,constructed_qc_pass,True,True,[],processed/2021440/K01987_01.npz,dd5e2fd3e8c871ac750958bb87c9fa8c98a9d8888c9c550655ffa7c10ab92927,
58,2140389,K07627.01,0,constructed,constructed_qc_pass,True,True,[],processed/2140389/K07627_01.npz,55a59db80653c7dbdceae2cbed64fa6fe2c8dc6a9a4b1e89b5ed21ba9a34a001,
59,2141783,K02201.01,0,constructed,constructed_qc_pass,True,True,[],processed/2141783/K02201_01.npz,7bb9a85aa6688166ec16ac2e0a08f7250ed6b2a21554f0a57161baa83f88108a,
60,2142522,K02403.01,1,constructed,constructed_qc_pass,True,True,[],processed/2142522/K02403_01.npz,0265147515b58a652143ce7234129cc924080fdba918979fa435c32b3b8bcbe3,
61,2161536,K02130.01,1,constructed,constructed_qc_pass,True,True,[],processed/2161536/K02130_01.npz,aa7b4acab50faffb874cdde926414028bd41d2d3080071268c4c051beef22372,
62,2161623,K06094.01,0,constructed,constructed_qc_fail,False,True,"[""valid_quarters_below_8""]",processed/2161623/K06094_01.npz,33431998717f27ec77dd8611c3f525aa8c228a45ba18711b1dcf32793b246713,
65,2162994,K06260.01,0,constructed,constructed_qc_pass,True,True,[],processed/2162994/K06260_01.npz,7a238c5a76a2c9d16c9fb583147040b5bbd429ea0ac295845b68f5e30d22fe3e,
66,2164169,K01029.01,1,constructed,constructed_qc_pass,True,True,[],processed/2164169/K01029_01.npz,4108cccaf55c086ace35b77d08cce0e3f8f79802ad72ba7c6c1d8b83c45645d8,
67,2165002,K00999.01,1,constructed,constructed_qc_pass,True,True,[],processed/2165002/K00999_01.npz,e77ca742f61c50804e2a70bed571d4d33ea5f5ba3da5ee0fdcae1f8c59cfe48f,
68,2165002,K00999.02,1,constructed,constructed_qc_pass,True,True,[],processed/2165002/K00999_02.npz,6649e433f8811cccb6557aa3d9a90ca17f04b6724ab765fa0bfe0f0409fc3238,
69,2165352,K04934.01,0,constructed,constructed_qc_pass,True,True,[],processed/2165352/K04934_01.npz,d6462e595f3b06c7e89017e2c9432b41fd6df51c75b00c1acfe8285f81646c6c,
70,2166200,K03735.01,0,constructed,constructed_qc_pass,True,True,[],processed/2166200/K03735_01.npz,df51aeb00d995130db672085aa091bfb29c9b23bd8d5b30958beb1f338675ae9,
71,2166206,K01028.01,0,constructed,constructed_qc_pass,True,True,[],processed/2166206/K01028_01.npz,c803d3c289d6e719b067a93c8701c267e4857e32bd071bb5110e88e51e8e9aed,
72,2167444,K06261.01,0,constructed,constructed_qc_fail,False,True,"[""valid_quarters_below_8""]",processed/2167444/K06261_01.npz,a86ec76f77d1c5a0ca93420eac3685427eec3e78f237e1171c54db4fe343836c,
73,2167890,K03670.01,0,constructed,constructed_qc_fail,False,True,"[""valid_quarters_below_8""]",processed/2167890/K03670_01.npz,5ee505055debfa139f885a10d90e56812d5dfc91657cf52fc3861a34ddbef9a8,
77,2302548,K00988.01,1,constructed,constructed_qc_pass,True,True,[],processed/2302548/K00988_01.npz,deda7d41bd737ce621f55c457b4c866fa273c22ebef529f852ad10f218d66f3f,
78,2302548,K00988.02,1,constructed,constructed_qc_pass,True,True,[],processed/2302548/K00988_02.npz,0afc27bbfa644c1f975cc29c37d16a17e317ba6c0cd0d72de5df5eb8b951cf74,
79,2302758,K07629.01,0,constructed,constructed_qc_pass,True,True,[],processed/2302758/K07629_01.npz,77b701e1a7735e27c0549923077da9336ec77b4a010c8332f0f8eefd13d07ddc,
82,2304320,K02033.01,1,constructed,constructed_qc_pass,True,True,[],processed/2304320/K02033_01.npz,75ecec2db42cb23231fc15494bcf67009ffa8455e10884e28e3bf303c407ad15,
83,2305255,K04935.01,0,constructed,constructed_qc_pass,True,True,[],processed/2305255/K04935_01.npz,2c4aec84b8ab528ce95985af69bb1690134e591c4e193dcf0f8f52c9fb22a9d6,
84,2305372,K06264.01,0,constructed,constructed_qc_pass,True,True,[],processed/2305372/K06264_01.npz,54deb0ee9fbafe6c9a0b469c41c857e4cc976627d6e7eb7a0f14c825797834da,
85,2305543,K04936.01,0,constructed,constructed_qc_pass,True,True,[],processed/2305543/K04936_01.npz,13fe49d768206b7f68854ab1a9ad1adf473a9af22c3deb5bf3d2bd4448bc0bc9,
88,2306740,K06265.01,0,constructed,constructed_qc_pass,True,True,[],processed/2306740/K06265_01.npz,7e811d3c432205d76d4326bbdb55e0f4d33f6d439468be0c900912e1f190f5e1,
90,2307206,K03549.01,0,constructed,constructed_qc_pass,True,True,[],processed/2307206/K03549_01.npz,c74ff6d2e2ee2ef42a6fb779ebc6654b2ddbf014ddfafc6af46e2f57871cdfe9,
91,2307415,K02053.01,1,constructed,constructed_qc_pass,True,True,[],processed/2307415/K02053_01.npz,f80a599d100576dc8f424ef245f33537cfbd6f8dbb840383279da30386619f78,
92,2307415,K02053.02,1,constructed,constructed_qc_pass,True,True,[],processed/2307415/K02053_02.npz,2dcd612e8db498d0878acc465575a9bbabcf119fed2af6bfb32c40370af24d93,
93,2308411,K07631.01,0,constructed,constructed_qc_pass,True,True,[],processed/2308411/K07631_01.npz,04b0904d9929da36186cd8a89fdbeb765048da857b11bd937012f6154d092bd0,
94,2308957,K06266.01,0,constructed,constructed_qc_pass,True,True,[],processed/2308957/K06266_01.npz,680a82a4c274009eb404b03c36f2116fcb2404769937014f5b013c75501fe723,
95,2309585,K01004.01,0,constructed,constructed_qc_pass,True,True,[],processed/2309585/K01004_01.npz,87ffed4aa2fed25bba0ab34fea09de31178f75a47084b97bd18a4a799d7d120c,
96,2309587,K05982.01,0,constructed,constructed_qc_pass,True,True,[],processed/2309587/K05982_01.npz,bd8d3bfa3d7c1c1b35b194622a5549025964907b70362c88332af2291b30921b,
97,2309719,K01020.01,0,constructed,constructed_qc_pass,True,True,[],processed/2309719/K01020_01.npz,ab05c8c6cdfbc37592e521a6676bb3a2e7bcfabbfd5ff1f99693a15c9492e7ac,
98,2309910,K04937.01,0,constructed,constructed_qc_fail,False,True,"[""local_missing_run_above_0.25""]",processed/2309910/K04937_01.npz,3c1a2b3a73ff43659eb1560d0e4c788a7fd0fa237549d010873659786843c879,
101,2436378,K02682.01,0,constructed,constructed_qc_pass,True,True,[],processed/2436378/K02682_01.npz,ef1ab5931024df3a5f0ea9568aceaa9150caa197e41c22221bda20e9246408ad,
102,2437060,K03712.01,0,constructed,constructed_qc_fail,False,True,"[""valid_quarters_below_8""]",processed/2437060/K03712_01.npz,13d9d46b267000854f83c3bcdd3f60833b28e7b457af1caabf0ea2dce204ac36,
103,2437112,K03461.01,0,constructed,constructed_qc_pass,True,True,[],processed/2437112/K03461_01.npz,1b57271af5b4b4d3bbdabb2632121ac9c4b591437aaae1a33dac3d407fd87fcf,
104,2437112,K03461.02,0,constructed,constructed_qc_pass,True,True,[],processed/2437112/K03461_02.npz,71d5623b0bd93adbb1a9bd38f78ca7f768986cc8547cca0adc0aae21de200ee9,
105,2437149,K03598.01,0,constructed,constructed_qc_fail,False,True,"[""valid_quarters_below_8""]",processed/2437149/K03598_01.npz,69224fd097d9234bdb8af2afe5d96cc80f77b54a18b47e35f7131a76182261e4,
106,2437209,K04939.01,0,constructed,constructed_qc_pass,True,True,[],processed/2437209/K04939_01.npz,c4282d0da089366bc09ea21c7e1a923545183ae8d750c766425ab702c0e57fb2,
107,2437452,K06268.01,0,constructed,constructed_qc_pass,True,True,[],processed/2437452/K06268_01.npz,94199221059d48c8a25968530635883787b28a1206b06f63151e85deb3269121,
108,2437488,K03920.01,0,constructed,constructed_qc_pass,True,True,[],processed/2437488/K03920_01.npz,81966d345ee152b70346a6e6001f38fd0555e8bf5aeef016365c8d3cb28a0e79,
109,2437505,K02671.01,0,constructed,constructed_qc_pass,True,True,[],processed/2437505/K02671_01.npz,422fbbdc23da02e9e067da7530a87b31349bad550bb55235e2411acd2c85745f,
110,2437783,K03745.01,0,constructed,constructed_qc_fail,False,True,"[""valid_quarters_below_8""]",processed/2437783/K03745_01.npz,ab34a4e3672e63b5812a2a9e47134104524a7d26d494c28a10247b1c5f054a1e,
111,2437804,K06269.01,0,constructed,constructed_qc_pass,True,True,[],processed/2437804/K06269_01.npz,948f83eac8b19b801fed630496efcddb74ee587138c0bf7d1161a55c42f8ee6f,
112,2437897,K04909.01,0,constructed,constructed_qc_pass,True,True,[],processed/2437897/K04909_01.npz,393a053d67f453b99f177a9f0e856e9b4e1de0f0bac060a9511f648c73b5cd9c,
113,2438061,K06270.01,0,constructed,constructed_qc_pass,True,True,[],processed/2438061/K06270_01.npz,4c8b61c660514ce53ba78a8353092468f2f0764a86656a34fd88304d512050c9,
114,2438062,K06271.01,0,constructed,constructed_qc_fail,False,True,"[""valid_quarters_below_8""]",processed/2438062/K06271_01.npz,c439f11375e04176accfa694ccb6617053e982b63e79e55f4d1fd02c96396d96,
115,2438070,K00363.01,0,constructed,constructed_qc_pass,True,True,[],processed/2438070/K00363_01.npz,84acfb84e25c1ba0fe16159c6ad721f34f0a7ad07e50d2877a95903a539aa2f0,
116,2438264,K00440.01,1,constructed,constructed_qc_pass,True,True,[],processed/2438264/K00440_01.npz,d744b6500c05a92075802ff4b843ce945416a27a3e9d05b896139f688600097f,
117,2438264,K00440.02,1,constructed,constructed_qc_pass,True,True,[],processed/2438264/K00440_02.npz,2ed6b0a4f14d33d4302a2a49a5907142218a151ec7e5be42c4b754430049d1b3,
118,2438406,K04941.01,0,constructed,constructed_qc_pass,True,True,[],processed/2438406/K04941_01.npz,2247e4884229a953453713013be8307bc06d5d1889e5888fac61c72e85cafea8,
119,2438490,K03699.01,0,constructed,constructed_qc_fail,False,True,"[""valid_quarters_below_8""]",processed/2438490/K03699_01.npz,59d857de6a547e55fbb071d3381803ec026e97532ce8f57237e0896adeccec6c,
120,2438502,K01003.01,0,constructed,constructed_qc_pass,True,True,[],processed/2438502/K01003_01.npz,511dee9d44ee38838127dedd09e06109111e19afa3da8d2c70a2ec30eb20930c,
121,2438513,K01944.01,1,constructed,constructed_qc_pass,True,True,[],processed/2438513/K01944_01.npz,b2284b292fcd5b9e3d0c37809f1d5fb34b579ead17bb30e15d82067503b74a3b,
122,2438513,K01944.02,0,constructed,constructed_qc_pass,True,True,[],processed/2438513/K01944_02.npz,113d2fa3090f766ce5908e9aa2cc217fbd70f60e1fbbadeb9c45a29de315788e,
123,2438517,K06272.01,0,constructed,constructed_qc_pass,True,True,[],processed/2438517/K06272_01.npz,77dda7fe02d7c8e4424a091f2606c2ab361caf3091e85d1e16b606c80d0383e5,
124,2439243,K02280.01,1,constructed,constructed_qc_pass,True,True,[],processed/2439243/K02280_01.npz,c7b8b9cdfc1a3ce5ca5a02c3804dc8740e8129200930b6fe65cb3c721a93d2cd,
125,2440757,K00792.01,0,constructed,constructed_qc_pass,True,True,[],processed/2440757/K00792_01.npz,8e6525057e2b1c2501a2b7b91ff986f661b6552efe80fd00d7d65942b827e9bc,
126,2441151,K00603.01,0,constructed,constructed_qc_pass,True,True,[],processed/2441151/K00603_01.npz,90e0cf8cd0bfa4fb6c6e225648a721a821ec9b9144e5953c5560b3dec89db3f2,
127,2441161,K03642.01,0,constructed,constructed_qc_pass,True,True,[],processed/2441161/K03642_01.npz,97c2163bc24c4a44291336aaf86f720cb5d6e6dfcdf8bedef31caf06c1322423,
128,2441495,K00166.01,1,constructed,constructed_qc_pass,True,True,[],processed/2441495/K00166_01.npz,82b5ffc3f44472f2d56bdd67ef10e1d380b7b26dbab8bf8b00d365c036581a97,
129,2441728,K01000.01,0,constructed,constructed_qc_pass,True,True,[],processed/2441728/K01000_01.npz,4bf432fdd0802561ba54f3ce5933bbb4c3baf31a2b23133abad1c4ef4a014cfa,
130,2442084,K06273.01,0,constructed,constructed_qc_pass,True,True,[],processed/2442084/K06273_01.npz,f2630bac3cb8d73cac10bbf3947d703320ac84d9a02f1863b0a7c4e60442839e,
131,2442359,K03997.01,0,constructed,constructed_qc_pass,True,True,[],processed/2442359/K03997_01.npz,61c00e3785fa4bd6d63b65089ea8cee5a7e635978f315ac2b004000a989bcd30,
132,2442448,K02812.01,1,constructed,constructed_qc_pass,True,True,[],processed/2442448/K02812_01.npz,5e318adda8273207e91b348dc385c0cae411d91029c91b451312eb80e0f53711,
134,2444412,K00103.01,1,constructed,constructed_qc_pass,True,True,[],processed/2444412/K00103_01.npz,38cc42677076e8f6492b24438c72d70d151320e462f19cc638a18602d6a0c5b7,
135,2445129,K00793.01,0,constructed,constructed_qc_pass,True,True,[],processed/2445129/K00793_01.npz,c194ee5100c130532dbde0f1898b063fcf6228a15c15a6b93137e843633846f2,
136,2445134,K05983.01,0,constructed,constructed_qc_pass,True,True,[],processed/2445134/K05983_01.npz,3e0d12f52c4cde563874defaa2d6f9f5168f7a8c688b5ab0c69e37daa94be1f9,
137,2445154,K01023.01,0,constructed,constructed_qc_pass,True,True,[],processed/2445154/K01023_01.npz,6455eb417f6bec28c2fdbcc08064201f98a2af3c1b18a6d616dae98ff76b238f,
138,2445975,K00053.01,0,constructed,constructed_qc_pass,True,True,[],processed/2445975/K00053_01.npz,d7030b4b1755f2407676df9af301a2266ad07148b92660e2955fa00352448765,
139,2446113,K00379.01,0,constructed,constructed_qc_pass,True,True,[],processed/2446113/K00379_01.npz,1b9c2519dd52a5cffe7b32badd7a7deb066216c655047268e9d308cddddad262,
141,2446134,K07632.01,0,constructed,constructed_qc_pass,True,True,[],processed/2446134/K07632_01.npz,67e60b3e0b6d86084b0d57963ccb98bca422ceecf0d7cf1c893a7675c941db3b,
142,2446623,K03674.01,0,constructed,constructed_qc_pass,True,True,[],processed/2446623/K03674_01.npz,0687f5fd0030e226eec64b1f8df78e67bcdde3f426eaaef5111a40d5d33e8c94,
143,2449053,K07633.01,0,constructed,constructed_qc_pass,True,True,[],processed/2449053/K07633_01.npz,a34da27153f20b9405670e5e525581c2db1178c2e94c91941f667a1c32ad4030,
144,2449074,K00378.01,0,constructed,constructed_qc_pass,True,True,[],processed/2449074/K00378_01.npz,0bb6be464dbebdd70f8f1df9a14765c7426f5024481401fceeee8a5fd6f7994e,
145,2449090,K03702.01,0,constructed,constructed_qc_pass,True,True,[],processed/2449090/K03702_01.npz,885de3755ca41976d4d9904c8b89e11c18a24968b77fd442c8d07d00dbdb17af,
148,2452440,K03687.01,0,constructed,constructed_qc_pass,True,True,[],processed/2452440/K03687_01.npz,f98548cc313ea7e9c0ffaeafbeb2fd2c82b04a1422d1fef586bcdb9f64605dbd,
149,2452450,K00380.01,0,constructed,constructed_qc_pass,True,True,[],processed/2452450/K00380_01.npz,092f8a47a61f3a2fcceea1a0edd21755b1469f07cf9af53077546927824ec273,
150,2556650,K02156.01,1,constructed,constructed_qc_pass,True,True,[],processed/2556650/K02156_01.npz,92d4cf12f7a37c6984f040b2bfff2287a7d02d1b4cbd82d8dde5ea6fa0f827b2,
152,2557430,K06277.01,0,constructed,constructed_qc_pass,True,True,[],processed/2557430/K06277_01.npz,695c422bd0c6d655c62c551eb8c7d99e0d5d6da708c73c42b8a33acf0eeb5148,
153,2557816,K00488.01,1,constructed,constructed_qc_pass,True,True,[],processed/2557816/K00488_01.npz,bf8b54bf9479359ecb69184ad6656a39f858be21e72fd03fcf1bab27336577eb,
155,2558363,K01021.01,0,constructed,constructed_qc_pass,True,True,[],processed/2558363/K01021_01.npz,4cf52d3dcb746d5c1f789d26b9766d5054abf799b4b12725bea51b460cc7c482,
156,2558370,K03855.01,0,constructed,constructed_qc_pass,True,True,[],processed/2558370/K03855_01.npz,c871702d3dfd96c29bdc44fdf0bfdaf7a7383ec634a4dfa689af19a53b2a4557,
157,2568971,K06278.01,0,constructed,constructed_qc_pass,True,True,[],processed/2568971/K06278_01.npz,c44045603a2806d4448010bf03f52ea1f344d5954681d671f3b3768711625a99,
158,2569488,K04944.01,0,constructed,constructed_qc_pass,True,True,[],processed/2569488/K04944_01.npz,4b66b4a891312daa372d6faf44796ba11917eda32d949f7468760e78e3533e8c,
159,2569494,K03704.01,0,constructed,constructed_qc_fail,False,True,"[""valid_quarters_below_8""]",processed/2569494/K03704_01.npz,701f372bf9eb7c3898237c2b41e1b1b47823155b6ddc1557a89401e58f50c910,
160,2569516,K04945.01,0,constructed,constructed_qc_pass,True,True,[],processed/2569516/K04945_01.npz,197a19fda2212b74f63174967fffe5b7031cf848f16a6735cc57cfcd265b10c4,
161,2569995,K07634.01,0,constructed,constructed_qc_fail,False,True,"[""valid_quarters_below_8""]",processed/2569995/K07634_01.npz,58bc275f977d1f235faad7b6b7efb2a9b94b1ca8692ef438ba18766c56e3de0f,
162,2570432,K04946.01,0,constructed,constructed_qc_pass,True,True,[],processed/2570432/K04946_01.npz,cb74d53191573fc0273cc5eec392f4d7a0b9e5facadaecb7f5161408809c01fb,
163,2570505,K06279.01,0,constructed,constructed_qc_pass,True,True,[],processed/2570505/K06279_01.npz,7408597eaaedeeb97afce6b1584ad2e7944b63015251719ac4ac429f8e60fbc3,
164,2570767,K06280.01,0,constructed,constructed_qc_pass,True,True,[],processed/2570767/K06280_01.npz,c22fa006fb563354442c263ff1da487062a50d3b4cc5fb68a2bf2545e7018059,
165,2570773,K04376.01,0,constructed,constructed_qc_pass,True,True,[],processed/2570773/K04376_01.npz,39ad216c0da3616984113861084dda4b6d90ff9f715bccd2dcc7e18d56510fe2,
166,2571238,K00084.01,1,constructed,constructed_qc_pass,True,True,[],processed/2571238/K00084_01.npz,fe4eb0c0203f80cb12eab5b444a1419aa9d46a7b509ca37e486aef0cdc5e2219,
168,2573056,K02648.01,0,constructed,constructed_qc_pass,True,True,[],processed/2573056/K02648_01.npz,161b71c81f873a23d33c7f75099e7e561fff857bc4fc1d189d885fb95affbd7e,
169,2573108,K03217.01,0,constructed,constructed_qc_pass,True,True,[],processed/2573108/K03217_01.npz,81f566a0afc7eb35d5c5891a535b359db134eed4ebd4b287611a14c4e7ca0d5a,
170,2574201,K01025.01,0,constructed,constructed_qc_pass,True,True,[],processed/2574201/K01025_01.npz,32d470da5db31d1ea7dfbb92ef2f4088d78c285cfc8ddcb3bcf2f288fd38ab2f,
171,2574338,K01030.01,1,constructed,constructed_qc_pass,True,True,[],processed/2574338/K01030_01.npz,615b0c2068861dd989e4c0de7055a8a8085e49c67224fd4d223592e07b42dcf7,
172,2574543,K04947.01,0,constructed,constructed_qc_fail,False,True,"[""valid_quarters_below_8""]",processed/2574543/K04947_01.npz,dec5a3db3069de7790425a3992424ea747a8196ac08689fa8daed3ed39047724,
173,2576107,K03709.01,0,constructed,constructed_qc_pass,True,True,[],processed/2576107/K03709_01.npz,1c58653d45f2452c07bcdb75d9b378e3dc98e85e56beebd2bd56e80c263dcb1e,
