source_row_index,kepid,kepoi_name,label,relative_path,npz_bytes,npz_sha256,qc_pass,model_data_available,global_count_sha256,global_flux_sha256,global_observed_mask_sha256,local_count_sha256,local_flux_sha256,local_observed_mask_sha256
15,1571511,K00362.01,0,processed/1571511/K00362_01.npz,21260,19590e9dd30c9d47b62c2df291a919b60ac14a5201e360f96e75666f9e502f91,True,True,078cc3b33841bbf172696c2cedf7b8017dc0050c68781768d4a282518ba959b6,0d5a46fec7f9bc8cf1816bf1e46d276a5603cafb87ee33e0678bce8247b749b3,aa1b2b51c5d0caef6bae3b83337409103a21e99c1918a39d73d90eee754efc47,6a8fa3f9e6c7dcb784de6d91a2f1755fb54f2e76985e95c75b763851a0930442,69b00a37c47a82ce146ee3daa048304c8cb896de6c484b1f48675f0f40a2e193,f79ddb2a0a2fe150e161a4e1ab15e7aa12890ca0885d3ce4331d7ec7141d4fa3
16,1572948,K04924.01,0,processed/1572948/K04924_01.npz,21260,eb77e779695f52605cccf1a33e4ab97f16e3dcfeae1a4c57d76f85312668f9f7,False,True,48e9e56a6e48579746f9c147e9a75a2fadc9173185ac8b8ffc2171d4742e015f,15e6c8058c9ae1005b6d9a59fc9d19659c09cff4ed4c0bad69d9f94ebb32e025,aa1b2b51c5d0caef6bae3b83337409103a21e99c1918a39d73d90eee754efc47,04388d0f82a0e7a63659ae042c574560b4ae5b910a6b7cc1d8045ec2dd21b995,c53ab6352d3557495abd399fe67c3122c3a49a574fae9851856ed92005c27d75,f79ddb2a0a2fe150e161a4e1ab15e7aa12890ca0885d3ce4331d7ec7141d4fa3
17,1575690,K03658.01,0,processed/1575690/K03658_01.npz,21260,c8095dfc9f5149fe7fa6637a727b2c426b3f5195a4d09f7d6b179c8f213c97d3,True,True,ab69757fff26fad7a4e25398a4a173bdf5e0b73598c15d8af977787eeb1bf839,4e93b0b3834058238fb725c99353bad2f4cc6c3e32a253c7b771ed7f263ca15f,aa1b2b51c5d0caef6bae3b83337409103a21e99c1918a39d73d90eee754efc47,ba6d86a0c43eb49c57454158b50c073c04a349510afab77d851b9467d8428795,e15f59af3f9bc6757df9abf2fff768153feaa9602e698217b907514783e4456c,f79ddb2a0a2fe150e161a4e1ab15e7aa12890ca0885d3ce4331d7ec7141d4fa3
19,1717722,K03145.01,1,processed/1717722/K03145_01.npz,21260,01dbada463520ada3364cceaf34731aff09543625716ca9532190e58bf316306,True,True,ea418ce389c864c94acb97bb39c6a4ea0bc976b3f80b87eb3be7a7526a5401d7,cff45a9860f7544143839d0e23845a1bed8e0d65ee8bba6d793373fe473fda7c,aa1b2b51c5d0caef6bae3b83337409103a21e99c1918a39d73d90eee754efc47,f26653988e3e6fbc9ceb7e687ef1cf720eb8ed5140b490b9cfe9eabf76d715cd,62d7c8c373b0afd62696895b52615ec521e03a73eab145d2420f382c7c3f1daa,f79ddb2a0a2fe150e161a4e1ab15e7aa12890ca0885d3ce4331d7ec7141d4fa3
21,1718189,K00993.01,1,processed/1718189/K00993_01.npz,21260,2260bb3304d8b0fb978b25c7db29eba484a15fadc0fc07dd22cfc4021f894af2,True,True,ef8efdc3a8fbde8910308ea976226a2488b3df4515f5d131dfcc4256a9ea5f80,48e4f7cec523b89e49d50788deee2b3bf5b4ae3c1553194cfb271d6e13e8faaa,aa1b2b51c5d0caef6bae3b83337409103a21e99c1918a39d73d90eee754efc47,9dc0d9e1bf0e474f8cee72849afbdeced1763844073998105a337a3d4622a9f7,58c17fb6757b144289148cd43825d8ebb8573eced20285d41ca2bfd1d9dfb92a,f79ddb2a0a2fe150e161a4e1ab15e7aa12890ca0885d3ce4331d7ec7141d4fa3
22,1718189,K00993.02,1,processed/1718189/K00993_02.npz,21260,2799fef86c1dea4baf22df973527f77b9358d803149ad3316a0f0109b2c3dfff,True,True,69a5a76e7d74d7696a997f68d9ff083fc49291a7c28e6f917944e0981e4eb833,200f4e673cec42f2d759c68e7252b49aaf111ba49cf79b31b23fd0e54e6177a5,aa1b2b51c5d0caef6bae3b83337409103a21e99c1918a39d73d90eee754efc47,8a0ec960cbeeda9b8b75e64ffca59e6ee47dc0213115351861af02ae4dd619e0,f197ec0a4cebf42d050bfe52ddae6f2714dcd617bb68738106bd30edf2b38365,f79ddb2a0a2fe150e161a4e1ab15e7aa12890ca0885d3ce4331d7ec7141d4fa3
23,1718189,K00993.03,0,processed/1718189/K00993_03.npz,21260,3e1a7247d3a9132bfbd583cb521690196be99c66d7f20595a2f977152dc82e3c,True,True,cd978bcdea95d87c0325d017115ab5a77e72f5d67957d84c4d393004b760a1f1,d1348c4a6f5493f7748c6c6b18ffc3a5439e45151bc987ce435c029ba2d82d3f,aa1b2b51c5d0caef6bae3b83337409103a21e99c1918a39d73d90eee754efc47,516904387c24acab7bacf392f8e4a6ddd407369cd4ba6701efcfe725f91a5b6a,a01188b3e7a78aa73aee469c5e5529af50889aada1d642506ac82460c0a7b495,f79ddb2a0a2fe150e161a4e1ab15e7aa12890ca0885d3ce4331d7ec7141d4fa3
24,1718958,K04053.01,1,processed/1718958/K04053_01.npz,21260,9d7b04006359107702578e481262d12dc87b6dc09588d30123ec35db84868d1f,True,True,1578e312901be09082c4cbabcc79941f1b633ca50be38e7768fac9a81f3de290,abee9c48fb909b6ba94a6ee43acfae407574de133bd8cac579aa698243cd063b,aa1b2b51c5d0caef6bae3b83337409103a21e99c1918a39d73d90eee754efc47,1275a062c224a7d8ce53c525e7f8a4ed8fa22679386d7b781bb05dad6233c4b5,91edaffc16fcba88a80d47555718f3843d83d2a437b33df9bfcc831d48e1ddf5,f79ddb2a0a2fe150e161a4e1ab15e7aa12890ca0885d3ce4331d7ec7141d4fa3
26,1722276,K01008.01,0,processed/1722276/K01008_01.npz,21260,2686e4289864216c3c7adc6b06d1a34367f8e4dab39e619ca6563bf31f3cdde7,True,True,d107192a345793c772d9cf675484ba2af38e2da41f9946af063438e4b72c2097,390bc7732cfb142788c82d4b6a6319e452b3a1d2bba886b871ebd1a1b3642002,cc69298a76d57df173997e8f3f2380402b10b51e4d14e62139c30d4d300e5b28,7f10a45c251098e55b2b033aeb58b87baf19680e42d5b96e469aaaa0b582b77c,db0a307f59434230861bc1bd6f3f4bb98d55fc8c12b1d9d438c8df1223eaa885,a5dc58a9496d8976a9a0fe55fd42fa691a5ab9e324d4f1296315e9b6a4a26b1d
28,1724513,K04224.01,0,processed/1724513/K04224_01.npz,21260,76e9e9b4a0d03577d85e21cd512918d63bb4e47cfa33cfb0497b484db7f643e4,True,True,6dd73192ed3bbca925a0be292523c06b2af3309bf230ac11884088004b608108,f540ef7d359f7c5499f793a3940a6d828f3741b4e9bc5417bc0d4a977545315b,aa1b2b51c5d0caef6bae3b83337409103a21e99c1918a39d73d90eee754efc47,0425e6ace7199e41ce05e6d817952b1b0ccd59b25d9e32ad3eacee0ffba936c9,58f5e23aeee4544bb014749d5f5fefbc2b7c97d16e0f0b13fe68d75b7b5dda06,f79ddb2a0a2fe150e161a4e1ab15e7aa12890ca0885d3ce4331d7ec7141d4fa3
29,1724719,K04212.01,1,processed/1724719/K04212_01.npz,21260,9c48957a6bff35552b903e5e912a62ae8c84d3153023c32102d562cfde8d7010,True,True,ee05f3c646ef6e5687f7824448d84ed51caa5dff59e14e8a5169d6a07607063d,25a6def50f0c43f67f686e5b82d37bc945f3ccee85a7e0fb58b3b5f016d594ef,aa1b2b51c5d0caef6bae3b83337409103a21e99c1918a39d73d90eee754efc47,b61888f5ac97da622df3fd0491c9a52a4c3f10981637d1324f85f9c776f68ecb,b6d904e1d3f24b2b737ff09fba2281fcfebe7b723d496524a7363c359c7537fa,f79ddb2a0a2fe150e161a4e1ab15e7aa12890ca0885d3ce4331d7ec7141d4fa3
31,1725016,K01007.01,1,processed/1725016/K01007_01.npz,21260,9536cec538064ded0743135e58503c964eda59a80ab34281a8dd3cd82284647e,True,True,d7850d902d3ac627947be1de381e270b5c53d733aeede4f2608c44d2c29c1c09,a57b57dfba0442c03947eb664a74bb76447a55b3931a760c1d479cdb7ee2095b,aa1b2b51c5d0caef6bae3b83337409103a21e99c1918a39d73d90eee754efc47,97623d0ecf0cf217cdb1dc605affa1cde53803a1f83adf37a2ac2ac7cd88e799,e76728c12e227e2e79129356d28c5b3e30f85a1664fc5f1366984ea785b70ef2,f79ddb2a0a2fe150e161a4e1ab15e7aa12890ca0885d3ce4331d7ec7141d4fa3
32,1725193,K04925.01,0,processed/1725193/K04925_01.npz,21260,52abd235f4f15ea78a85ed361ccb00aae90715a60f78e88174c328b547a1a492,True,True,de75889cbf64b9cf82c023de3690dab185ed7793c6c1fc135640508b89c4992e,969fb0c46f5d01b2b4d3f5cd02e48c681edce732ed6cdb6cb90a3c50b640d2f2,aa1b2b51c5d0caef6bae3b83337409103a21e99c1918a39d73d90eee754efc47,b32c3a62ea485c7d17c889727453e1b5c34f2ccc9cec7bc5049587d7fbd2e3f3,c2ca49c64bb9cceef4d3bab5d0f08423589800907a7d6c3d670b743840592035,f79ddb2a0a2fe150e161a4e1ab15e7aa12890ca0885d3ce4331d7ec7141d4fa3
33,1849702,K02538.01,1,processed/1849702/K02538_01.npz,21260,c1234f42519c500918d4ddf823b8f370467db05ef86da790d07256f6ac4ea9b3,True,True,1c74b1a0ace02962796a7ef89b0e5b04b34805b079cbf9931bc01e83495dbbfc,daa540d6176b406182ae0b100f28d7777ce2f16373bde11bec75e166beb4befd,aa1b2b51c5d0caef6bae3b83337409103a21e99c1918a39d73d90eee754efc47,55f8f3ba2893446440d0087a1aa312ce83f22ad0519166a5f85324a9fc14c479,d507c49929cbedf7c9fc52766576388f79b32ad6365c65f236c8596c4fb0b828,0a19a9e865a61697014579597171794ccb0dcac0220ccf64ff6d2450e6debfca
34,1865042,K01002.01,1,processed/1865042/K01002_01.npz,21260,9e88a36823ed64cd34c172fee65b8fde0e8246144b9ba776f40a95e6cd9080d9,True,True,4b15a89ec72cdaa38c469ccada040f7103520bfa0beb7a93722005fb154b7f8c,da3e3f63d76f834c3b4f8eec1ffed0ef10a3b8cb2a67fc72dca3082a01d43fa1,aa1b2b51c5d0caef6bae3b83337409103a21e99c1918a39d73d90eee754efc47,91dafd9db264168af4bd526a2f8c4b37845d1d6ae1efb77daf5dc739df62f5e7,c0e0bec1c6db11d0f7cf8e651600f3c05ad76e92e210e8bd6f9e29b1c8d7f69e,f79ddb2a0a2fe150e161a4e1ab15e7aa12890ca0885d3ce4331d7ec7141d4fa3
36,1868404,K07625.01,0,processed/1868404/K07625_01.npz,21260,1e1896f0ab94c2f74c36a7265e66249b93be4d77d7b1d3c22c4bea29fa25fcc6,True,True,783e0f7f69059b21e6108a714a81e54f7ecc6cc46451914ff2da361a021bdda1,9d994f00f108f9c4cb8265bada9a489672cd42a6e6336491c6a50e23932629e4,aa1b2b51c5d0caef6bae3b83337409103a21e99c1918a39d73d90eee754efc47,a0fe24975476456c713188f661b2b43b1beb44769f8f427a683f8b49a8cff792,d263bded0af7817cdb3d7dca819979816110ecf379c36838bc265d4b167beec9,f79ddb2a0a2fe150e161a4e1ab15e7aa12890ca0885d3ce4331d7ec7141d4fa3
37,1870398,K04927.01,0,processed/1870398/K04927_01.npz,21260,c79c1d7cfde78aef518930a8a3b2a4482b773d11f6885bdb3717e1c2657f9246,True,True,2324284d64e2d376ccdcda39a54546392b3daebe89d7c512e2f8eab93a66f012,77f65f46e726417452b35f2d7aef73835cdb80523e05aea17d61a6632528545b,aa1b2b51c5d0caef6bae3b83337409103a21e99c1918a39d73d90eee754efc47,b55c77790390b4a9e9b7faa729a7f6350bf307397bb9128581b2eff256912e10,9785aae4f544106ba62fa8ad36b51cd139665ba4b25007bde2fb8f978c8dd9a5,f79ddb2a0a2fe150e161a4e1ab15e7aa12890ca0885d3ce4331d7ec7141d4fa3
38,1871056,K01001.01,1,processed/1871056/K01001_01.npz,21260,dc6d8aa0eaca0bb519e6637ccb9c22a94144e0b76377d77ba8dac4a65421daee,True,True,98d14777806bcb91995c6b55c8da4223e52d338f10a129c224e2fbc733c8121e,d7ea63768cbd2ebcfd5f097617933f36cfc00fd10d16d739539574fbb403f6bc,aa1b2b51c5d0caef6bae3b83337409103a21e99c1918a39d73d90eee754efc47,ce4b577b51c8d01d6fca33a0e84d208b0cc99afb258145cec3bc3669300ea28c,0854d2e11ecb597c3906cc6f8bdf74ef1e3234c857d65008dedbf5a0a5dab788,f79ddb2a0a2fe150e161a4e1ab15e7aa12890ca0885d3ce4331d7ec7141d4fa3
39,1871056,K01001.02,1,processed/1871056/K01001_02.npz,21260,5818dad41931f8c979f8719e7e6f6e2c658c5d30ecb8cf6eeb24edde3f9ad1d3,True,True,afc195ddd0ee38f0d85fe38c2aebe3cae2792c89d6e3596aaea2652b9d851e3c,e66e91b708f90f045b05b80072942e0d5634b20d4d33e0a2922d12bb511f9858,aa1b2b51c5d0caef6bae3b83337409103a21e99c1918a39d73d90eee754efc47,79ffeb1e0a5275e2ad0d93cb0f362d019e28a014ee569621c82a8ed85218b23a,cce7a283380d06dc6bcc8ad08209b1971aebc16168d696354bef2e294951b4e2,f79ddb2a0a2fe150e161a4e1ab15e7aa12890ca0885d3ce4331d7ec7141d4fa3
40,1872821,K02351.01,1,processed/1872821/K02351_01.npz,21260,a3ce8dc36c24d4dcffd63522aef6fb497e17ab9db7627d16004a80faf9b80e50,True,True,797c72a4c6d5793353f3c536a4707928c6fcdd723ca22a7951878f5a9cad76fa,24339c6f412664b480aa3645c5072ef6ef224f4af50bfb76640288308fc84aa1,aa1b2b51c5d0caef6bae3b83337409103a21e99c1918a39d73d90eee754efc47,6ef48da961a3e72927fc83ee9101689f85ae5c5d65861ce18f5aa40d2688e311,6153105268391ba42a27a02858bfa2e8fb472c24a37edd0390b108e8c393bc5e,f79ddb2a0a2fe150e161a4e1ab15e7aa12890ca0885d3ce4331d7ec7141d4fa3
41,1873513,K04928.01,1,processed/1873513/K04928_01.npz,21260,02138f63878fda12efb8f34846ddd75469bf2fd262175817d7d4357bdbc605d9,False,True,6d333371f2a3c60e3d4d5a7bf2ef9a230df86bb35bdadd1c177063c4c5f60651,e83aaa3a63a6e052183d950b9ddd964a5b2e444f6c6eec3d6dc66558081b0c0d,aa1b2b51c5d0caef6bae3b83337409103a21e99c1918a39d73d90eee754efc47,f51cf35c91190e8c952154e07a617d6abb054492208e1b8c76d73bc1966f4a5b,04674f9b4fa295600c44797057d93cb9667da1a330f9ca51339fae3491202444,f79ddb2a0a2fe150e161a4e1ab15e7aa12890ca0885d3ce4331d7ec7141d4fa3
42,1995519,K02634.01,1,processed/1995519/K02634_01.npz,21260,7ec8e86385cebae58b9cccf0e5520989bed8eb9ae72d2ab8bf4066675798c57d,True,True,37574c5b62bd43fc0e4fec4cdddfdee1eccc942ca7992da72b9ac83336cec273,97882e06f1d64d150e6cb9a8d7897eaf96a416db17c72a7b93924879d8abf9de,aa1b2b51c5d0caef6bae3b83337409103a21e99c1918a39d73d90eee754efc47,743827767415526800b00bb125392ff8633f4960782a96a9789c52d9f2530099,97246720604301624b5ead319a847c22c94b2b2ca2712e3c4976aac976981d89,f79ddb2a0a2fe150e161a4e1ab15e7aa12890ca0885d3ce4331d7ec7141d4fa3
43,1995712,K07626.01,0,processed/1995712/K07626_01.npz,21260,c9e75455cf0a2f055a6d4657ccd60052653f467caa45afedb024344d923bb336,True,True,a4c2e5c24f4c94d3e7f0722c6c8dd2c37f515e50e6f8e949a719c25b9c98295d,dc4e7344ebda9a8353dbb1fb717e7647f82ee6b50e8e50f0b2be5f35493636ef,aa1b2b51c5d0caef6bae3b83337409103a21e99c1918a39d73d90eee754efc47,e1b132e95464f0d7c6814d039dde765b5a3d8624557373d2552a95e49de7b89c,0cd5613622b50e752ec255254db12152da31dd550b4e38393c1b0ce6edd7806a,9116203e738ee9dc940787727079797d6531ed30e1a711e71beeb2c4feb193bd
44,1995732,K03351.01,0,processed/1995732/K03351_01.npz,21260,3553cbf09aae12cad58da1806c75508a59ce8f7e0f5fe4a1a31f5d4b5e5d82a1,True,True,18df36bbfea7bc51f724cd0e0baa90d0b28400e8bf09bc5a03f7c1b48629869d,c3a7e00df0a69a0355a8614cd29ff544b8404cd5d669b714a078fd08c189b0b2,aa1b2b51c5d0caef6bae3b83337409103a21e99c1918a39d73d90eee754efc47,68ecc30083bc843d824a865bc06f7f3d53ade92e762d1d4c57f80606f6a1f14a,302003a98724c92464efe8e0fed5184d9be253c6570a273dd0a8514ac3f2e112,f79ddb2a0a2fe150e161a4e1ab15e7aa12890ca0885d3ce4331d7ec7141d4fa3
45,1996180,K02534.01,1,processed/1996180/K02534_01.npz,21260,cf33637fde165cdc5693aa96cd6420af2790e821a7ea9e3e6b155d3f03612b38,True,True,0c01481d6ae35bdaaa662f32a9bb312ddcd376eb8c878c1001ade9d4f448e5f4,ed24923ddd3ad7460427f36194be62a4befe50f5c90aa6b8612d023bcb1e3cf5,aa1b2b51c5d0caef6bae3b83337409103a21e99c1918a39d73d90eee754efc47,da5ead4c6e5c0fd27721a3e1aa4bcfc0a042ba45b0f29d254a3debeeec799991,95ba04730c1a54e2bf26cf07c2bf6087684480b2af8f94b61ee4fb40db85a4ec,f79ddb2a0a2fe150e161a4e1ab15e7aa12890ca0885d3ce4331d7ec7141d4fa3
47,1996679,K00147.01,0,processed/1996679/K00147_01.npz,21260,56967a3993bd088f3d8890b95ef141e36adbc584941955798a9fb96bc22483f5,True,True,9e20071f06a9513dc680275336c4933204a9e032966481d2d2b77d1630dc2fdb,18b7fc1eeec6aa981f6bde879b95e2d5cdbf003c49ebfc97e4c168460c485009,aa1b2b51c5d0caef6bae3b83337409103a21e99c1918a39d73d90eee754efc47,f3d2ceafa0242c2eec528cd100ac19b4bf5a2f4c707931211a67ce0363b7667a,85d9da1655d7031a544fb9c3ab915f66a0e210b9274f7f6e5bfd4efeb6e666db,27aaa7d2b2b1d167479d0419df050f9c1e521b27223549b899a949e52aa591a9
48,2010152,K08084.01,0,processed/2010152/K08084_01.npz,21260,a5712cdfaf6a0932f9ef5c6f968e953baf85634ef70a87dfdba5aa575963c536,True,True,87bd6189ad0b54d8fca735a7ac4d57b4ecc51aeed840de93f56541d71b740750,6ae19a6e07f7bc77109400f6fae56a5c8f021a73199bc6ce11c385529a456bc3,aa1b2b51c5d0caef6bae3b83337409103a21e99c1918a39d73d90eee754efc47,380958d8988a0c07baabe829f92c5800416b0fb74df8d3c296c16f19bfac21e2,c66484dadc9c3b539fd65f4ae9060e90b7c3055ff115919e7cbc9262a9497102,f79ddb2a0a2fe150e161a4e1ab15e7aa12890ca0885d3ce4331d7ec7141d4fa3
